FMID,Season1_Start_Date,Season1_End_Date,Season1Time,Season2_Start_Date,Season2_End_Date,Season3_End_Date,Season3Time,Season4_Start_Date,Season4_End_Date,Season4Time
1011967,2016-03-15T04:00:00Z,2016-07-31T04:00:00Z,Mon: 9:00 AM-5:00 PM;Tue: 9:00 AM-5:00 PM;Wed: 9:00 AM-5:00 PM;Thu: 9:00 AM-5:00 PM;Fri: 9:00 AM-5:00 PM;Sat: 9:00 AM-5:00 PM;Sun: 12:00 PM-5:00 PM;,2016-09-29T04:00:00Z,2016-11-06T04:00:00Z,2016-12-31T05:00:00Z,Mon: 7:00 AM-5:00 PM;Tue: 7:00 AM-5:00 PM;Wed: 7:00 AM-5:00 PM;Thu: 7:00 AM-5:00 PM;Fri: 7:00 AM-5:00 PM;Sat: 7:00 AM-2:00 PM;,,,
1001801,,,,,,,,,,
1005061,,,,,,,,,,
1004086,2014-10-04T04:00:00Z,2015-07-25T04:00:00Z,Sat: 8:00 AM-12:00 PM;,,,,,,,
1008612,2013-01-01T05:00:00Z,2013-12-31T05:00:00Z,Sun: 8:30 AM-1:00 PM;,,,,,,,
1006312,,,,,,,,,,
1009019,2013-01-01T05:00:00Z,2013-12-31T05:00:00Z,Tue: 9:00 AM-1:00 PM;Sat: 9:00 AM-1:00 PM;,,,,,,,
1004846,2013-05-21T04:00:00Z,,Tue: 10:00 AM-5:00 PM;Wed: 10:00 AM-5:00 PM;Thu: 10:00 AM-5:00 PM;Fri: 10:00 AM-5:00 PM;Sat: 10:00 AM-5:00 PM;Sun: -5:00 PM;,,,,,,,
1018304,2017-01-01T05:00:00Z,2017-12-31T05:00:00Z,Sun: 9:00 AM-1:00 PM;,,,,,,,
1011033,2017-06-03T04:00:00Z,2017-10-28T04:00:00Z,Sat: 8:30 AM-10:30 AM;,2017-07-05T04:00:00Z,2017-10-25T04:00:00Z,,,,,
1004789,2014-01-04T05:00:00Z,2014-12-20T05:00:00Z,Sat: 8:30 AM-12:00 PM;,,,,,,,
1004070,2015-07-11T04:00:00Z,2015-10-10T04:00:00Z,Sat: 8:00 AM-1:00 PM;,,,,,,,
1004425,May to Dec,er,Sat:8:00 AM - 2:00 PM;,,,,,,,
1002175,2016-04-16T04:00:00Z,2016-11-19T05:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,
1011108,2015-05-13T04:00:00Z,2015-10-31T04:00:00Z,Wed: 4:00 PM-6:00 PM;,,,,,,,
1004886,,,,,,,,,,
1010559,2014-05-03T04:00:00Z,2014-10-25T04:00:00Z,Wed: 8:30 AM-1:00 PM;Sat: 8:30 AM-1:00 PM;,,,,,,,
1010407,2014-05-17T04:00:00Z,2014-11-08T05:00:00Z,Sat: 7:00 AM-12:00 PM;,,,,,,,
1004761,2014-06-03T04:00:00Z,2014-09-30T04:00:00Z,Tue: 3:00 PM-6:00 PM;,,,,,,,
1007016,,,,,,,,,,
1002222,June to Se,mber,Sat:10:00 am - 1:00 pm;,April to M,,vember,Sat:10:00 am - 1:00 pm;,,,
1008252,,,Sat: 8:00 AM-12:30 PM;,,,,,,,
1003236,,,,,,,,,,
1011910,2016-04-18T04:00:00Z,,Mon: 3:00 PM-6:00 PM;,,,,,,,
1010597,2014-06-14T04:00:00Z,2014-09-13T04:00:00Z,Sat: 8:00 AM-12:00 PM;,,,,,,,
1000519,2014-05-23T04:00:00Z,2014-09-19T04:00:00Z,Fri: 9:00 AM-3:00 PM;,,,,,,,
1018643,2017-01-01T05:00:00Z,2017-12-31T05:00:00Z,Tue: 3:00 PM-6:00 PM;,,,,,,,
1007366,2014-05-10T04:00:00Z,2014-10-25T04:00:00Z,Sat: 9:00 AM-12:00 PM;,2014-06-01T04:00:00Z,2014-10-28T04:00:00Z,2014-10-30T04:00:00Z,Thu: 3:00 PM-6:00 PM;,,,
1011196,2016-07-10T04:00:00Z,2016-10-30T04:00:00Z,Sun: 11:00 AM-3:00 PM;,,,,,,,
1007217,,,,,,,,,,
1001300,,,,,,,,,,
1007528,,,,,,,,,,
1008835,2016-06-28T04:00:00Z,2016-10-11T04:00:00Z,Tue: 11:00 AM-4:00 PM;,,,,,,,
1005548,2016-11-01T04:00:00Z,2017-04-01T04:00:00Z,Sun: 1:00 AM-4:00 AM;,,,,,,,
1011735,2016-10-01T04:00:00Z,2017-07-01T04:00:00Z,Mon: 10:00 AM-6:00 PM;Thu: 10:00 AM-6:00 PM;Fri: 10:00 AM-6:00 PM;Sat: 1:00 PM-6:00 PM;,,,,,,,
1010096,2014-05-04T04:00:00Z,2014-10-26T04:00:00Z,Sun: 12:00 PM-4:00 PM;,,,,,,,
1000268,,,,,,,,,,
1000168,,,,,,,,,,
1001962,2016-06-06T04:00:00Z,2016-10-03T04:00:00Z,Mon: 3:30 AM-6:00 AM;,,,,,,,
1002717,2016-05-05T04:00:00Z,2016-10-27T04:00:00Z,Thu: 8:00 AM-2:00 PM;,,,,,,,
1008262,2013-05-11T04:00:00Z,2013-10-12T04:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,
1018160,,,Tue: 1:30 PM-5:30 PM;,,,,,,,
1018165,2017-05-20T04:00:00Z,2017-09-30T04:00:00Z,Sat: 8:30 AM-11:30 AM;,,,,,,,
1018105,2017-04-13T04:00:00Z,2017-10-26T04:00:00Z,Thu: 5:30 PM-7:00 PM;,,,,,,,
1011777,2016-10-26T04:00:00Z,2017-05-10T04:00:00Z,Wed: 3:00 PM-6:30 PM;,2017-05-17T04:00:00Z,2017-10-25T04:00:00Z,,,,,
1007413,,,,,,,,,,
1007716,,,,,,,,,,
1007083,,,,,,,,,,
1002964,,,,,,,,,,
1005675,2013-06-15T04:00:00Z,2013-10-12T04:00:00Z,Sat: 9:00 AM-12:00 PM;,,,,,,,
1006739,,,Sat: 9:00 AM-1:00 PM;,,,,,,,
1002683,2012-06-01T04:00:00Z,2012-10-31T04:00:00Z,,,,,,,,
1005134,2013-05-18T04:00:00Z,2013-10-26T04:00:00Z,Sat: 11:00 AM-3:00 PM;,,,,,,,
1006816,,,,,,,,,,
1002250,2013-05-04T04:00:00Z,2013-10-31T04:00:00Z,Wed: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;,,,,,,,
1007836,,,,,,,,,,
1012389,2016-05-05T04:00:00Z,2016-09-29T04:00:00Z,Thu: 3:00 PM-7:30 PM;,,,,,,,
1010476,2014-01-01T05:00:00Z,2014-12-31T05:00:00Z,Wed: 8:00 AM-1:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,
1005447,2013-06-19T04:00:00Z,2013-09-28T04:00:00Z,Wed: 10:00 AM-5:00 PM;,,,,,,,
1009792,2014-06-10T04:00:00Z,2014-10-14T04:00:00Z,Tue: 3:00 PM-7:00 PM;,,,,,,,
1009998,2014-01-08T05:00:00Z,2014-03-05T05:00:00Z,Wed: 3:00 PM-7:00 PM;,2014-03-12T04:00:00Z,2014-11-05T05:00:00Z,2014-12-31T05:00:00Z,Wed: 3:00 PM-7:00 PM;,,,
1004383,2011-07-01T04:00:00Z,2011-10-01T04:00:00Z,Mon: 11:00 AM-6:00 PM;Tue: 11:00 AM-6:00 PM;Thu: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 10:00 AM-2:00 PM;Sun: 10:00 AM-2:00 PM;,,,,,,,
1000357,,,,,,,,,,
1006749,2014-06-07T04:00:00Z,2014-10-18T04:00:00Z,Wed: 4:00 PM-7:00 PM;Sat: 8:00 AM-12:00 PM;,,,,,,,
1004154,,,,,,,,,,
1001100,June to Oc,er,Tue:5:00 pm - 8:00 pm;Fri:5:00 pm - 8:00 pm;,,,,,,,
1011421,2015-01-01T05:00:00Z,2015-12-31T05:00:00Z,Sun: 8:00 AM-1:00 PM;,,,,,,,
1001733,,,,,,,,,,
1005644,2015-06-07T04:00:00Z,2015-10-01T04:00:00Z,Sun: 9:00 AM-12:00 PM;,,,,,,,
1005645,2015-06-03T04:00:00Z,2015-10-01T04:00:00Z,Wed: 3:00 PM-6:00 PM;,,,,,,,
1005646,2015-06-13T04:00:00Z,2015-10-01T04:00:00Z,Sat: 9:00 AM-12:00 PM;,,,,,,,
1001826,,,,,,,,,,
1008321,2014-04-01T04:00:00Z,2014-09-30T04:00:00Z,Tue: 4:00 AM-7:00 PM;,,,,,,,
1008399,2013-01-01T05:00:00Z,2013-12-31T05:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,
1006373,,,,,,,,,,
1001367,,,,,,,,,,
1005946,,,,,,,,,,
1005188,June to Oc,er,Mon:3:00 pm - 6:00 pm;,,,,,,,
1011171,2015-05-02T04:00:00Z,2015-10-31T04:00:00Z,Sun: 8:00 AM-12:30 PM;,,,,,,,
1000284,2015-04-18T04:00:00Z,2015-11-21T05:00:00Z,Sat: 8:00 AM-1:30 PM;,,,,,,,
1006748,2014-05-07T04:00:00Z,2014-10-15T04:00:00Z,Wed: 2:00 PM-6:00 PM;,,,,,,,
1009833,2014-12-06T05:00:00Z,2015-03-28T04:00:00Z,Sat: 10:00 AM-2:00 PM;,,,,,,,
1001135,2013-07-12T04:00:00Z,2013-09-20T04:00:00Z,Fri: 2:00 PM-6:00 PM;,,,,,,,
1010105,2014-05-04T04:00:00Z,2015-08-30T04:00:00Z,Sun: 12:00 PM-3:00 PM;,,,,,,,
1016853,2017-05-27T04:00:00Z,,Wed: 3:00 PM-6:00 PM;Sat: 10:00 AM-2:00 PM;,,,,,,,
1012157,2016-07-12T04:00:00Z,2016-09-13T04:00:00Z,Tue: 4:00 PM-7:00 PM;,,,,,,,
1005944,2016-05-07T04:00:00Z,2016-10-29T04:00:00Z,Sat: 9:00 AM-2:00 PM;,2016-11-19T05:00:00Z,2016-11-20T05:00:00Z,2016-04-09T04:00:00Z,Sat: 9:00 AM-2:00 PM;,,,
